X,Y,Class
44.96,46,3
43.37,50,3
31.88,30,3
41.01,37,3
53.72,13,2
48.05,18,0
63.38,41,3
55.92,22,3
51.54,22,3
39.27,34,3
59.22,14,2
57.77,14,2
60.84,9,2
63.59,21,2
53.12,30,3
58.89,9,2
61.69,36,3
49.56,24,3
45.44,29,3
50.28,21,3
47.42,35,3
45.8,28,3
38.07,23,3
44.13,24,3
51.91,59,3
51.7,36,3
39.66,19,0
49.73,26,3
52.86,24,3
55.81,29,3
42.86,24,3
52.31,25,3
62.35,28,3
32.9,16,0
48.51,23,3
45.33,12,0
49.09,12,0
37.89,14,0
67.15,17,2
48.01,32,3
45.44,28,3
52.54,22,3
59.23,40,3
31.85,37,3
49.4,54,3
51.11,25,3
64.34,47,3
58.32,42,3
46.99,13,0
65.75,34,3
62.34,12,2
51.33,38,3
50,27,3
63.06,27,3
64.66,24,3
54.99,36,3
40.95,35,3
52.29,40,3
40.47,30,3
59.56,42,3
58,46,3
55.12,34,3
59.21,26,3
65.54,39,3
55.64,24,3
62.4,40,3
51.01,22,3
48.83,24,3
57.58,35,3
47.21,34,3
49.26,26,3
59.51,30,3
46.12,33,3
51.7,37,3
85.36,17,2
40.04,35,3
34.77,5,0
45.1,4,0
56,8,2
38.14,5,0
53.39,5,2
50.55,7,2
48.8,6,0
55.99,3,2
48.37,4,0
55.19,6,2
51.51,5,2
43.29,9,0
44.96,7,0
43.45,5,0
48.92,8,0
52.9,6,2
50.99,5,2
45.08,5,0
53.36,2,2
53.27,4,2
51.93,6,2
64.96,6,2
49.22,5,0
59.82,7,2
45.24,4,0
60.4,7,2
35.14,5,0
43.86,6,0
57.49,6,2
47.98,7,0
48.33,7,0
52.42,3,2
40.59,6,0
42.54,3,0
39.43,6,0
67.04,4,2
32.58,5,0
41.75,9,0
55.95,4,2
49.61,4,0
43.04,8,0
33.5,5,0
47.25,6,0
47.47,7,0
29.47,8,0
52.55,2,2
52.6,3,2
58.98,6,2
44.94,4,0
59.72,7,2
57.38,5,2
46.76,6,0
35.58,5,0
42.55,10,0
46.44,5,0
29.66,1,0
30.77,8,0
65.73,8,2
73.5,6,2
41.94,3,0
38.2,6,0
49.47,4,0
42.9,6,0
44.02,4,0
74.03,6,2
41.73,7,0
63.6,4,2
59.71,4,2
51.75,4,2
49.68,5,0
43.6,1,0
60.76,6,2
44.84,2,0
53.99,4,2
46.74,4,0
48.99,7,0
56.28,4,2
49.19,3,0
51.3,5,2
62.3,6,2
64.5,5,2
43.31,3,0
50.87,4,2
33.18,1,0
60.07,2,2
47.48,2,0
38.98,5,0
61.65,4,2
60.52,9,2
50.87,4,2
40.61,4,0
61.48,3,2
50.18,6,2
50.89,10,2
51.97,4,2
52.07,5,2
31.06,3,0
52.44,6,2
35.84,9,0
52.66,7,2
50.39,4,2
54.05,1,2
25.78,3,0
51.53,8,2
36.51,7,0
48.2,6,0
47.23,5,0
60.59,6,2
59.46,8,2
54.7,4,2
45.16,4,0
44.92,3,0
53.44,5,2
32.54,9,0
44.51,5,0
62.26,6,2
39.05,3,0
37.68,4,0
42.33,10,0
66.06,4,2
32.94,7,0
39.67,4,0
63.08,9,2
73.78,4,2
45.24,5,0
59.71,9,2
39.79,6,0
35.93,6,0
49.1,5,0
50.22,8,2
68.63,8,2
62.03,6,2
55.64,7,2
55.4,8,2
52.28,8,2
39.84,1,0
35.52,5,0
48.79,3,0
70.7,2,2
61.92,4,2
59.86,4,2
68.37,5,2
47.65,4,0
46.7,0,0
31.24,1,0
49.47,10,0
50.58,8,2
38.61,6,0
42.83,6,0
59.72,7,2
50.21,2,2
38.04,7,0
66.87,6,2
31.07,3,0
57.66,6,2
50.89,5,2
35.99,5,0
62.2,4,2
56.52,2,2
63.05,1,2
46.99,3,0
30.45,2,0
58.23,6,2
37.05,5,0
31.14,4,0
28.91,4,0
58.82,4,2
34.34,3,0
32.49,3,0
57.76,3,2
73.89,4,2
38.4,8,0
44.13,5,0
42.26,6,0
45.89,7,0
62.56,8,2
53.54,6,2
55.4,4,2
48.81,3,0
51.01,7,2
36.88,7,0
56.42,6,2
39.94,4,0
38.7,8,0
47.39,6,0
64.67,3,2
67.47,5,2
49.39,6,0
43.1,6,0
34.03,5,0
32.72,0,0
60.65,5,2
57.26,6,2
55.1,4,2
61.06,4,2
38.91,4,0
51.35,3,2
56.87,6,2
50.2,5,2
55.34,6,2
47.95,3,0
47.47,6,0
35.44,6,0
31.45,8,0
28.16,3,0
68.57,6,2
41.5,5,0
53.75,8,2
37.47,5,0
55.63,4,2
50.45,7,2
51.61,3,2
38.08,7,0
37.26,5,0
33.01,4,0
45.87,6,0
45.45,4,0
53.15,8,2
54.58,5,2
53.08,2,2
43.09,4,0
34.46,4,0
52.19,4,2
55.54,5,2
51.45,5,2
62.7,1,2
50.18,8,2
53.44,6,2
53.42,4,2
54.52,4,2
50.89,6,2
64.49,9,2
51.92,8,2
57.49,6,2
42.97,1,0
43.27,4,0
44.69,6,0
54.16,3,2
50.07,4,2
48.42,5,0
42.59,6,0
50.69,4,2
62.86,3,2
51.78,2,2
47.89,3,0
38.05,1,0
54.09,4,2
38.88,4,0
58,5,2
42.04,5,0
35.44,2,0
43.73,8,0
65.7,5,2
43.3,5,0
54.89,3,2
54.69,6,2
46.22,6,0
47.7,5,0
39.19,8,0
57.11,3,2
47.65,7,0
38.13,2,0
33.77,4,0
54.62,6,2
51.86,4,2
56.75,6,2
50.98,4,2
46.99,6,0
52.3,4,2
47.64,5,0
28.82,9,0
53.48,2,2
45.16,6,0
56.73,4,2
71.55,4,2
32.1,2,0
41.81,3,0
52.98,3,2
43.82,3,0
40.81,3,0
46.33,8,0
37.48,6,0
42.87,4,0
54.26,5,2
46.69,6,0
48.46,6,0
56.82,8,2
48.73,4,0
38.76,4,0
38.23,2,0
54.06,6,2
42.25,9,0
35.22,3,0
43.64,5,0
45.7,5,0
45.41,6,0
70.97,4,2
36.19,4,0
56.54,3,2
44.52,1,0
42.87,6,0
33.86,5,0
65.17,10,2
42.75,4,0
42.59,6,0
45.15,3,0
49.7,3,0
55.39,2,2
32.12,6,0
60.07,6,2
62.34,3,2
75.84,3,2
49.46,8,0
58.15,7,2
49.1,9,0
45.97,4,0
37.1,6,0
55.74,6,2
42.81,6,0
53.28,5,2
43.15,3,0
54.53,4,2
69.29,4,2
42.99,4,0
66.21,4,2
50.94,5,2
53.75,6,2
45.17,5,0
44.64,7,0
39.62,7,0
54.55,7,2
53.05,4,2
54.35,1,2
48.64,6,0
49.34,5,0
46.83,2,0
31.81,4,0
34.46,3,0
27.3,5,0
53.95,3,2
46.57,6,0
33.36,6,0
36.42,7,0
65.73,5,2
49.9,5,2
56.31,3,2
33.04,3,0
48.62,10,0
47.42,5,0
68.57,4,2
45.07,4,0
56.07,7,2
47.01,6,0
51.53,6,2
51.81,7,2
66.83,6,2
50.79,4,2
46.33,2,0
30.52,11,0
41.67,1,0
53.38,7,2
60.45,6,2
41.56,3,0
28.94,4,0
43.5,8,0
56.31,6,2
67.77,4,2
41.93,2,0
71.73,5,2
57.04,0,2
38.44,7,0
55.64,5,2
57.39,2,2
60.07,3,2
46.69,2,0
46.59,3,0
55.64,3,2
46.09,4,0
46.25,2,0
61.75,8,2
66.17,4,2
58.07,6,2
56.07,4,2
49.81,6,2
49.75,5,2
35.17,9,0
55.71,5,2
49.71,4,0
48.97,3,0
61.79,5,2
42.77,7,0
47.63,8,0
67.19,4,2
52.03,3,2
55.64,5,2
44.09,5,0
49.52,7,0
49.78,4,2
39.56,5,0
50.54,8,2
39.46,9,0
41.69,5,0
48.03,8,0
37.91,5,0
40.81,4,0
58.1,2,2
49.63,5,0
59.36,7,2
37.14,6,0
49.41,6,0
57.34,2,2
46.58,7,0
42.21,6,0
41.14,2,0
37.63,3,0
60.88,5,2
64.56,3,2
58.97,6,2
51.2,6,2
52.84,3,2
22.36,5,0
60.75,2,2
60.38,4,2
64.18,1,2
71.11,6,2
31.35,3,0
52.38,4,2
54.01,4,2
51.31,5,2
65.89,3,2
51.92,7,2
57.51,5,2
48.94,3,0
34.86,6,0
42.96,3,0
38.96,4,0
41.74,8,0
66.37,5,2
31.92,4,0
52.07,6,2
55.77,5,2
59.03,4,2
49.53,7,0
56.58,7,2
33.62,7,0
70.55,6,2
63.68,2,2
61.78,9,2
39.21,8,0
37.13,5,0
57.08,6,2
24.9,8,0
55.34,5,2
43.47,7,0
73.8,6,2
58.36,10,2
52.88,4,2
44.65,6,0
46.85,5,0
55.2,7,2
58.28,0,2
67.36,6,2
50.38,5,2
56.21,1,2
47.79,6,0
63.18,5,2
57.18,5,2
58.44,6,2
60.4,6,2
43.94,4,0
53.34,3,2
42.96,3,0
46.07,3,0
52.09,9,2
57.35,5,2
72.05,7,2
55.19,4,2
33.32,4,0
51.53,4,2
52.11,5,2
46.24,7,0
51.59,6,2
63.62,6,2
59.02,5,2
53.71,6,2
60.37,6,2
56,9,2
58.05,5,2
50.86,6,2
39.44,8,0
44.61,8,0
54.2,10,2
36.76,5,0
74.83,4,2
46.57,6,0
50.74,4,2
46.85,4,0
52.01,4,2
63.96,6,2
68.24,2,2
43.22,7,0
51.73,6,2
44.04,5,0
53.66,6,2
54.99,4,2
59.09,5,2
64.15,6,2
28.36,7,0
57.13,4,2
54.29,9,2
70.87,7,2
46.55,5,0
64.77,5,2
48.84,5,0
51.37,2,2
75.54,7,2
44.68,7,0
46.59,4,0
46.66,8,0
50.36,3,2
51.39,4,2
53.95,2,2
57.78,7,2
45.77,4,0
44.64,6,0
42.6,2,0
63.59,3,2
53.75,6,2
55.88,3,2
31.35,7,0
42.2,5,0
50.1,7,2
40.18,4,0
43.8,3,0
41.84,7,0
57.03,4,2
70.83,5,2
54.96,3,2
72.8,1,2
45.58,5,0
61.79,3,2
39.81,4,0
60.9,3,2
53.76,9,2
55.85,5,2
63.36,6,2
63.15,6,2
58.98,6,2
44.21,5,0
42.09,2,0
39.78,5,0
70.77,5,2
54.82,3,2
54.07,5,2
56.74,7,2
42.78,5,0
22.27,7,0
43.07,4,0
43.5,4,0
58.48,8,2
40.4,6,0
54.84,5,2
51.83,6,2
53.08,2,2
51.08,7,2
63.84,1,2
40.95,6,0
48.07,4,0
63.67,7,2
56.59,2,2
39.37,5,0
46.7,6,0
50.53,6,2
54.02,4,2
47.21,4,0
48.05,9,0
52.01,7,2
65.61,4,2
58.38,5,2
51.45,5,2
51.74,3,2
54.57,3,2
53.41,8,2
46.4,5,0
39.22,3,0
56.13,5,2
48.63,7,0
40.75,4,0
50.55,5,2
45.64,3,0
59.35,4,2
50.47,1,2
36.82,3,0
46.86,4,0
43.53,2,0
48.16,6,0
48.21,2,0
59.44,7,2
42.9,6,0
57.77,2,2
46.41,5,0
40.59,9,0
44.24,4,0
60.7,1,2
52.5,3,2
56.38,10,2
45.2,6,0
48.46,6,0
48.5,6,0
45.83,2,0
54.89,4,2
38.09,2,0
52.25,5,2
48.21,8,0
50.43,7,2
50.07,2,2
48.47,9,0
66.46,6,2
40.46,5,0
15.52,3,0
62.54,4,2
39.57,6,0
47.88,7,0
27.5,3,0
45.97,7,0
42.01,4,0
62.54,4,2
46.36,3,0
47.58,10,0
51.68,4,2
71.04,4,2
55.43,4,2
36.37,2,0
52.4,3,2
36.89,6,0
54.39,7,2
54.56,5,2
60.76,5,2
30.32,3,0
58.49,6,2
59.55,8,2
30.84,7,0
44.06,1,0
37.52,6,0
64.31,5,2
50.05,4,2
54.52,6,2
56.53,5,2
59.16,8,2
56.49,6,2
33.68,4,0
54.42,7,2
47.62,5,0
52.44,7,2
55.47,7,2
41.38,8,0
60.32,3,2
42.71,5,0
41.83,8,0
48.98,4,0
57.87,5,2
41.84,4,0
55.12,6,2
38.5,1,0
37.73,4,0
36.91,3,0
37.5,6,0
60.28,2,2
45.51,6,0
51.59,4,2
49.46,6,0
57.05,4,2
41.16,2,0
55.64,5,2
56.91,3,2
57.02,7,2
60.17,5,2
45.68,3,0
68.44,6,2
58.77,5,2
51.97,2,2
58.28,5,2
50.39,5,2
23.9,6,0
36.91,6,0
48.86,4,0
70.21,6,2
61.06,3,2
49.54,9,0
47.36,7,0
54.75,5,2
62.01,4,2
56.41,3,2
32.09,2,0
42.75,7,0
73.66,5,2
54.27,5,2
42.71,7,0
46.62,3,0
45.74,4,0
53.28,5,2
41.83,5,0
48.76,4,0
47.89,4,0
49.28,2,0
56.76,6,2
42.92,6,0
44.74,8,0
51.19,5,2
41.78,5,0
47.95,9,0
58.91,6,2
52.6,7,2
53.59,2,2
48.09,6,0
39.06,1,0
57.59,4,2
44.44,3,0
59.68,4,2
57.78,4,2
27.86,8,0
48.62,9,0
54.09,5,2
39.3,2,0
38.32,5,0
43.68,1,0
53.08,5,2
55.26,5,2
51.24,2,2
50.03,3,2
49.38,3,0
68.26,5,2
44.97,8,0
43.36,3,0
42,8,0
56.86,6,2
36.67,7,0
34.28,2,0
57.2,5,2
61.23,7,2
41.21,5,0
43.36,4,0
43.16,6,0
55.7,5,2
46.44,5,0
55.43,3,2
55.96,8,2
60.51,2,2
55.29,6,2
64.11,5,2
47.18,7,0
49.05,5,0
41.91,5,0
39.94,6,0
52.03,5,2
47.6,4,0
57.05,9,2
57.45,5,2
29.65,3,0
44.09,4,0
61.38,9,2
39.04,4,0
48.86,10,0
42.99,8,0
53.51,8,2
63.68,6,2
35.51,7,0
38.84,4,0
52.64,6,2
65.57,6,2
47.85,7,0
57.64,4,2
62.54,7,2
52.2,7,2
35.54,7,0
41.49,6,0
49.31,6,0
33.9,6,0
41.13,4,0
57.57,1,2
40.22,6,0
39.79,4,0
56.45,4,2
51.2,3,2
54.34,6,2
75.52,0,2
37.02,2,0
57.63,8,2
37.91,7,0
36.49,5,0
44.97,9,0
49.35,10,0
53,4,2
56.63,5,2
66.45,4,2
41.42,7,0
59.14,8,2
36.8,4,0
55.03,2,2
51.24,5,2
45.52,4,0
50.75,5,2
73.97,3,2
40.05,5,0
49.55,3,0
60.58,3,2
36.12,4,0
43.7,7,0
77.82,9,2
42.41,7,0
46.46,6,0
42.52,5,0
48.96,6,0
41.59,3,0
58.07,5,2
49.89,9,2
71.42,3,2
48.29,5,0
47.24,3,0
42,5,0
52.11,8,2
54.97,5,2
58.11,9,2
72.99,4,2
58.53,2,2
56.08,4,2
33.77,3,0
39.31,3,0
33.46,8,0
48.75,8,0
64.69,5,2
38.47,2,0
47.13,3,0
50.73,9,2
34.4,2,0
33.48,5,0
45.9,7,0
49.23,3,0
51.51,6,2
49.18,5,0
57.78,5,2
28.74,5,0
45.15,5,0
50.93,7,2
61.99,5,2
47.9,3,0
65.76,4,2
56.57,8,2
48.53,4,0
53.39,7,2
43.86,8,0
58.52,6,2
66.75,7,2
68.18,5,2
62.89,5,2
55.64,4,2
53.12,6,2
57.4,9,2
35.52,6,0
40,3,0
58.5,5,2
27.59,7,0
45.9,6,0
62.47,7,2
38.7,5,0
53.45,4,2
56.48,3,2
58.94,5,2
58.46,8,2
58.46,5,2
57.82,1,2
46.11,4,0
57.25,6,2
35.04,5,0
38.49,7,0
62.91,4,2
51.77,5,2
34.74,8,0
48.67,3,0
72.61,4,2
41.2,3,0
45.08,4,0
54.41,7,2
36.24,2,0
43.29,4,0
35.7,2,0
49.07,7,0
53.42,7,2
66.52,2,2
54.8,8,2
51.22,4,2
40.14,1,0
45.01,7,0
67.27,3,2
55.42,6,2
45,7,0
63.99,5,2
50.13,7,2
41.71,8,0
64.48,3,2
52.58,7,2
50.79,5,2
60.41,8,2
44.97,6,0
43.83,3,0
41.84,7,0
60.82,5,2
46.26,7,0
44.7,4,0
42.04,3,0
38.93,1,0
57.13,5,2
37.52,1,0
59.66,3,2
49.6,4,0
40.66,7,0
48.05,7,0
55.67,3,2
43.35,3,0
46.51,6,0
70.91,7,2
44.03,7,0
35.2,6,0
43.3,5,0
44.78,6,0
52.82,5,2
37.21,5,0
42.7,6,0
33.32,8,0
58.67,6,2
58.13,7,2
47.11,6,0
45.39,6,0
39.61,6,0
63.94,4,2
45.15,3,0
59.59,6,2
64.19,4,2
45.63,7,0
47.64,3,0
63.75,8,2
54.16,5,2
66.42,4,2
45.96,4,0
37.21,6,0
70.05,7,2
54.32,3,2
49.09,5,0
47.47,7,0
56.14,6,2
47.57,5,0
55.15,9,2
52.99,9,2
68.57,4,2
35.46,5,0
27.32,6,0
44.74,2,0
46.55,5,0
36.59,7,0
45.58,0,0
68.64,9,2
36.22,5,0
43.94,6,0
39.21,5,0
32.36,5,0
70.25,6,2
51.06,7,2
46.92,6,0
44.49,7,0
62.01,2,2
32.33,7,0
54.26,3,2
52.53,6,2
50.69,8,2
53.79,5,2
36.19,2,0
42.01,4,0
31.12,5,0
56.16,6,2
62.38,2,2
52.32,6,2
34.81,3,0
42.03,4,0
43.61,8,0
63.2,7,2
41.61,4,0
33.45,5,0
39.06,8,0
53.51,1,2
19.62,3,0
41.26,7,0
51.31,3,2
32.51,2,0
53.18,7,2
51.24,5,2
48.97,4,0
68.7,3,2
74.14,5,2
38.76,6,0
46.39,6,0
56.55,2,2
50.93,10,2
44.51,1,0
76.31,4,2
59.02,3,2
45.85,6,0
59.98,6,2
44.15,5,0
56.09,11,2
41.52,5,0
71.33,4,2
66.13,4,2
38.77,5,0
48.5,7,0
43.65,5,0
52.81,10,2
57.35,7,2
57.27,4,2
58.51,6,2
48.44,7,0
45.99,3,0
62.48,8,2
53.07,1,2
43.96,5,0
55.07,6,2
34.54,2,0
50.82,6,2
55.45,8,2
50.43,7,2
59.81,8,2
48.09,3,0
64.81,8,2
48.74,7,0
53.44,1,2
52.31,3,2
38.29,6,0
47.79,9,0
71.67,7,2
37.41,5,0
52.13,7,2
63.03,2,2
52.1,2,2
47.39,5,0
42.57,5,0
76.89,5,2
52.59,6,2
56.08,8,2
38.66,1,0
45.23,5,0
52.85,5,2
56.87,6,2
36.66,4,0
48.88,2,0
60.99,4,2
48.69,6,0
36.84,6,0
36.08,5,0
49.37,3,0
51.82,5,2
42.53,4,0
44.13,6,0
53.27,6,2
54.33,6,2
65.01,6,2
51.46,4,2
56.07,6,2
53.48,5,2
71.54,1,2
44.69,3,0
36.53,6,0
50.75,4,2
57.83,7,2
47.41,3,0
52.98,6,2
46.99,6,0
66.27,5,2
33.42,9,0
61.98,4,2
34.11,1,0
52.42,7,2
57.05,5,2
54.73,5,2
64.47,2,2
31.38,7,0
68.87,5,2
57.61,5,2
57.65,8,2
58.08,4,2
51.31,6,2
66.32,6,2
51.75,5,2
51.75,6,2
34.26,5,0
48.79,6,0
23.46,2,0
61.32,4,2
44.18,5,0
38.98,7,0
41.52,8,0
64.71,5,2
55.04,4,2
41.94,3,0
46.88,6,0
73.97,3,2
35.55,5,0
51.54,9,2
53.32,4,2
63.86,2,2
33.69,8,0
47.34,6,0
35.38,4,0
61.31,4,2
55.71,1,2
58.87,3,2
43.3,5,0
36.19,8,0
47.62,5,0
39.87,5,0
51.76,9,2
46.82,5,0
59.73,8,2
60.88,7,2
55.99,4,2
46.93,3,0
62.48,2,2
59.47,5,2
49.09,5,0
42.49,5,0
36.63,5,0
57.03,6,2
40.71,6,0
42.1,6,0
53.8,3,2
53.5,2,2
37.27,6,0
44.17,6,0
39.32,5,0
48.39,6,0
57.14,5,2
47.26,3,0
38.03,5,0
31.36,5,0
68.26,6,2
54.23,2,2
52.52,1,2
52.19,3,2
78.26,4,2
78.56,4,2
58.48,5,2
47.36,7,0
50.25,6,2
76.26,2,2
34.12,4,0
49.99,7,2
60.89,6,2
51.83,6,2
40.4,2,0
64.86,8,2
51.32,3,2
55.83,4,2
61.88,2,2
45.35,4,0
55.7,1,2
40.17,2,0
61.46,7,2
41.67,4,0
44.85,3,0
53.25,8,2
41.92,5,0
63.38,4,2
55.52,8,2
59.16,7,2
62.14,6,2
33.4,9,0
41.01,3,0
39.59,3,0
48.31,6,0
47.96,4,0
40.43,5,0
50.35,4,2
46.08,3,0
48.83,5,0
50.29,4,2
56.23,4,2
36.93,4,0
51.13,8,2
45.21,3,0
47.56,8,0
49.5,9,0
41.22,8,0
65.02,3,2
61.22,9,2
39.6,7,0
59.64,6,2
50.75,8,2
55.84,3,2
51.12,6,2
54.09,6,2
45.71,7,0
64.43,5,2
51.49,2,2
42.73,5,0
55.28,2,2
46.47,7,0
65.79,3,2
42.04,5,0
52.88,5,2
51.86,2,2
42.75,4,0
41.34,3,0
37.14,6,0
51.39,9,2
41.93,4,0
64.54,7,2
50.24,8,2
43.43,10,0
26.87,3,0
55.75,3,2
51.23,5,2
45.6,4,0
53.04,9,2
74.2,3,2
68.53,3,2
61.21,1,2
51.91,2,2
39.73,7,0
63.49,4,2
41.37,1,0
58.09,6,2
41.1,4,0
29.32,6,0
53.43,5,2
42.54,5,0
48.38,6,0
53.68,2,2
43.9,1,0
50.56,4,2
62.59,4,2
37.18,3,0
48.98,6,0
46.67,6,0
56.56,3,2
48.74,3,0
63.24,3,2
36.26,11,0
37.36,2,0
48.48,1,0
29.42,7,0
55.04,5,2
54.05,2,2
49.24,1,0
51.72,5,2
43.03,7,0
56.77,7,2
31.62,5,0
30.61,2,0
39.68,4,0
44.39,4,0
47.51,9,0
59.39,5,2
65.3,5,2
44.3,3,0
47.74,3,0
57.2,7,2
37.62,3,0
44.39,3,0
51.67,5,2
59.58,4,2
42.08,7,0
34.59,5,0
60.39,8,2
